attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url
python3Packages.pymilvus,pymilvus,2.6.9,fetchFromGitHub,https://github.com/milvus-io/pymilvus,milvus-io,pymilvus,refs/tags/v2.6.9,tag,sha256-2PDN642i+GZG4Uxs4aA5x/jC6vm2cx4RITVqKi3KvtY=,https://github.com/milvus-io/pymilvus/archive/refs/tags/v2.6.9.tar.gz
python3Packages.pymodes,pymodes,2.21.1,fetchFromGitHub,https://github.com/junzis/pyModeS,junzis,pyModeS,refs/tags/v2.21.1,tag,sha256-Tla5hJ7J/3R4r4fTQMUIpY+QGvLRuNMZfWU0RsAiuk0=,https://github.com/junzis/pyModeS/archive/refs/tags/v2.21.1.tar.gz
python3Packages.pymssql,pymssql,2.3.13,fetchFromGitHub,https://github.com/pymssql/pymssql,pymssql,pymssql,refs/tags/v2.3.13,tag,sha256-UOb1gULAg5mNPiOiqcGpZ0Ux3f2Kz204gQ3Xn8fJFfA=,https://github.com/pymssql/pymssql/archive/refs/tags/v2.3.13.tar.gz
python3Packages.pynamodb,pynamodb,6.1.0,fetchFromGitHub,https://github.com/pynamodb/PynamoDB,pynamodb,PynamoDB,refs/tags/6.1.0,tag,sha256-i4oxZO3gBVc2PMFSISeytaO8YrzYR9YuUMxrEqrg2c4=,https://github.com/pynamodb/PynamoDB/archive/refs/tags/6.1.0.tar.gz
python3Packages.pyocd,pyocd,0.42.0,fetchFromGitHub,https://github.com/pyocd/pyOCD,pyocd,pyOCD,refs/tags/v0.42.0,tag,sha256-VSEItt+mXiV3u3SAKQc8uGiJdT6b4nER/u6BwfaX2CM=,https://github.com/pyocd/pyOCD/archive/refs/tags/v0.42.0.tar.gz
python3Packages.pypck,pypck,0.9.11,fetchFromGitHub,https://github.com/alengwenus/pypck,alengwenus,pypck,refs/tags/0.9.11,tag,sha256-XULSgnVp7uIob/tL8zqszTBTdxMY4QIeIBruO2Augnc=,https://github.com/alengwenus/pypck/archive/refs/tags/0.9.11.tar.gz
python3Packages.pyrealsense2,librealsense,2.56.3,fetchFromGitHub,https://github.com/IntelRealSense/librealsense,IntelRealSense,librealsense,v2.56.3,tag,sha256-Stx337mGcpMCg9DlZmvX4LPQmCSzLRFcUQPxaD/Y0Ds=,https://github.com/IntelRealSense/librealsense/archive/v2.56.3.tar.gz
python3Packages.pyrealsense2WithCuda,librealsense,2.56.3,fetchFromGitHub,https://github.com/IntelRealSense/librealsense,IntelRealSense,librealsense,v2.56.3,tag,sha256-Stx337mGcpMCg9DlZmvX4LPQmCSzLRFcUQPxaD/Y0Ds=,https://github.com/IntelRealSense/librealsense/archive/v2.56.3.tar.gz
python3Packages.pyrealsense2WithoutCuda,librealsense,2.56.3,fetchFromGitHub,https://github.com/IntelRealSense/librealsense,IntelRealSense,librealsense,v2.56.3,tag,sha256-Stx337mGcpMCg9DlZmvX4LPQmCSzLRFcUQPxaD/Y0Ds=,https://github.com/IntelRealSense/librealsense/archive/v2.56.3.tar.gz
python3Packages.pysam,pysam,0.23.3,fetchFromGitHub,https://github.com/pysam-developers/pysam,pysam-developers,pysam,refs/tags/v0.23.3,tag,sha256-yOLnfuGQW+j0nHy4MRlwurZMpeRHTGmQ9eLmihcAGoQ=,https://github.com/pysam-developers/pysam/archive/refs/tags/v0.23.3.tar.gz
